"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5","pDat","cas"
3,-2,-5,-4,10,0.8,0.005,0.001,3.092449575,-2.0736880591,-4.8699860503,-3.9521951427,10.0043561786,0.4925297123,0.0063106864,0.0035590473,0.0490643922,4.7541e-06,5.5064e-06,-0.0159707881,-0.0036657428,-0.0188259439,-0.1899199751,-0.230214344,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.1947755872,-2.2317568368,-4.6917314219,-3.6054525314,9.8282233104,0.526246018,0.0061618448,0.0019771069,0.0509578978,5.6252e-06,6.7225e-06,-0.0115884147,-0.0042388776,-0.0235316047,-0.1775626313,-0.2588968528,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.0182087459,-1.9922924914,-4.9452999004,-4.0395996535,9.6862250813,0.7750133485,0.0031470112,0.0013621407,0.0212544069,9.887e-07,3.041e-07,-0.006281942,-0.0022788301,-0.0129060577,-0.0588386324,-0.1228008554,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,2.8488048682,-1.9499799604,-5.141141033,-3.5120604748,9.6471127353,0.6821201449,0.0060754891,0.0023974555,0.0364929433,3.9563e-06,1.5864e-06,-0.0103262307,-0.0034527354,-0.0178887215,-0.0925891446,-0.1491886266,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.4630209501,-2.1568794725,-4.5591335665,-5.6863031591,10.17184588,0.6211045086,0.0059723559,0.0028275789,0.0448442074,4.0551e-06,2.6948e-06,-0.0248698421,-0.0145169449,-0.0783091253,-0.1659690528,-0.8000566167,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.0892309439,-2.1259755508,-4.6460322118,-3.8640603229,9.2109501322,0.4505727541,0.0056147768,0.0001502427,0.0581281553,4.9899e-06,8.4658e-06,-0.0126907849,-0.0035998268,-0.0218723652,-0.18315871,-0.1700519923,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.0747571799,-2.0173595562,-4.8876893631,-4.2165352991,9.6090626895,0.6103813001,0.0064112959,0.0030144703,0.0373316915,4.5727e-06,3.6241e-06,-0.0123149281,-0.0031667774,-0.0211721395,-0.1940498536,-0.2480796455,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.0151754446,-2.1279276073,-4.5774856201,-3.7728289321,9.2214226544,0.8939004613,0.0059155871,0.0015170473,0.0168085647,4.4229e-06,1.2036e-06,-0.013139476,-0.0047949861,-0.0263573658,-0.1457466247,-0.1737626836,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.4193181392,-2.2113342708,-4.4997341942,-4.6922064217,9.2854636639,0.6750012772,0.0040827283,0.0016322266,0.0358588239,2.45e-06,1.6914e-06,-0.0155648377,-0.00317593,-0.0219160789,-0.1806550724,-0.2246681642,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.270375061,-2.050256508,-4.9914637164,-4.7306543636,9.977648243,0.834747933,0.0095582186,0.0034013691,0.0095606701,5.5997e-06,9.788e-07,-0.0166127829,-0.0088979978,-0.0658720823,-0.218675704,-0.963560556,40,40
3,-2,-5,-4,10,0.8,0.005,0.001,3.1445992934,-2.1863708028,-4.6857848544,-3.4820451649,8.916575308,0.8722535968,0.003107145,1.25708e-05,0.015292129,1.0964e-06,8.362e-07,-0.0074188752,-0.0019681955,-0.0121498304,-0.0706299681,-0.0802407731,40,40
