"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5"
3,-2,-5,-4,10,0.3775,0.0833448276,0,2.9876100913,-2.1165683488,-4.6650908386,-3.2186011342,7.9275422569,0.553974572,0.0649027841,-0.0088608613,0.0128200013,0.0002050354,0.0003059488,-0.0403608346,-0.0133837254,-0.0872144317,-0.4486610102,-0.7063562839
3,-2,-5,-4,10,0.3775,0.0833448276,0.0002502,2.9136869352,-1.9008937707,-5.2445229,-4.1044879427,10.7732858451,0.4766153205,0.0739687948,-0.0238329683,0.0142178921,0.0001816308,0.0003677541,-0.0523210697,-0.0151541473,-0.1000746466,-0.727102264,-0.9561741995
3,-2,-5,-4,10,0.3775,0.0833448276,0.0002867,2.9734500077,-1.8089322358,-5.3879706197,-4.7743884276,11.6160863733,0.2337821717,0.1029485153,0.0168415594,0.0130735364,0.0004828016,0.0007820784,-0.0600318607,-0.0191794654,-0.1205310145,-0.8481041825,-1.3734460877
3,-2,-5,-4,10,0.3775,0.0833448276,0.0003284,3.1437501303,-2.2473425179,-4.4485859203,-3.5644332198,8.2175730144,0.2600287662,0.0680551028,-0.0067792251,0.0200512921,0.0001433054,0.0003394728,-0.0414655219,-0.0185068352,-0.1037833203,-0.5045713845,-0.9895326362
3,-2,-5,-4,10,0.3775,0.0833448276,0.0003798,3.3011501442,-2.2281654152,-4.5797952704,-3.7708320459,8.0631436207,0.2601536665,0.071833428,-0.0412143382,0.0192584622,0.000179093,0.0004442518,-0.0831394358,-0.02069268,-0.0986649848,-0.7753601129,-0.7590790695
3,-2,-5,-4,10,0.3775,0.0833448276,0.000444,2.780597573,-2.0133136096,-4.7170782041,-3.2763475946,8.5038203402,0.3386642063,0.0530895429,-0.0225217954,0.0159531946,8.09691e-05,0.0001482216,-0.0346501049,-0.0107236816,-0.0758573108,-0.4137567587,-0.4992291408
3,-2,-5,-4,10,0.3775,0.0902068966,0,3.3821281254,-2.1788188201,-4.3672649825,-5.2541047435,9.2723524133,0.1568527855,0.0658516171,-0.0201091793,0.0173243367,0.0001661332,0.0004114174,-0.0833186151,-0.0193821295,-0.1086846045,-1.0682519579,-0.9535703218
3,-2,-5,-4,10,0.3775,0.0902068966,0.0002502,3.0628692075,-2.0587516724,-4.7311021907,-4.6475881083,10.3944703558,0.2842304397,0.0781757161,0.0123690691,0.0138757414,0.0002471644,0.000386312,-0.0513589588,-0.0136566716,-0.081632366,-0.6943811348,-0.8838827848
3,-2,-5,-4,10,0.3775,0.0902068966,0.0002867,3.3209278538,-2.0855202437,-4.8397255492,-5.0061063556,9.9399346627,0.3814239757,0.0756212047,-0.0053832151,0.0143806535,0.0002227838,0.0004658326,-0.0623506193,-0.0180141081,-0.1126674218,-0.8724016265,-1.3291149219
3,-2,-5,-4,10,0.3775,0.0902068966,0.0003284,3.0699840619,-1.8379364616,-5.6429361473,-4.5954201847,11.7696579569,0.3572582867,0.0766443572,-0.0071456148,0.0150871331,0.000244957,0.0003953005,-0.0520871123,-0.0146805727,-0.0829868497,-0.6976008401,-1.1490724122
3,-2,-5,-4,10,0.3775,0.0902068966,0.0003798,2.9128732589,-2.2054485752,-4.7729907455,-2.4410533489,7.9799254292,0.3497658189,0.0497024312,-0.0563933226,0.0229108434,8.41647e-05,0.0001530683,-0.026101848,0.0011312255,-0.0031118323,-0.364295129,0.3473813831
3,-2,-5,-4,10,0.3775,0.0902068966,0.000444,3.3085741203,-2.2415251709,-4.4153091472,-4.5290498793,8.6928560495,0.3336628879,0.1025294201,-0.0172243771,0.0160007331,0.0005009651,0.0009560258,-0.0878496372,-0.0240537611,-0.1476923669,-1.061218738,-1.4048899818
