"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5","pDat","cas"
1,-0.25,-14,-12,60,0.4,0.05,0,0.9012835774,-0.2122763595,-14.2030562937,-11.0308820464,60.097025324,0.1419831309,0.0705510647,0.0408900222,0.0334300646,0.0005750011,0.0007679475,-0.0024750207,-0.0024477,-0.111619225,-0.5098349565,-8.6139028314,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,0.934743195,-0.1211337004,-14.7104890085,-12.3695778812,65.6232559175,0.2596283621,0.0425249753,0.0341181239,-0.0235978169,0.0001444347,5.85135e-05,-0.0010474874,-0.0010712332,-0.0689200871,-0.1899250874,-5.1447877532,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,0.9391912095,-0.2818835864,-13.9392053178,-10.7549465362,57.630707127,0.5674700786,0.0322787871,0.0053836707,0.0517730695,0.0001012564,9.50388e-05,-0.0013542041,-0.0006874216,-0.0449380195,-0.2466967508,-3.060694682,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,0.9294533327,-0.3027648695,-13.6046865649,-10.6709709193,54.3587776946,0.1785822854,0.0496147473,0.0081711165,0.0949341803,0.0002259882,0.0003592264,-0.0016195602,-0.0010470202,-0.0675230469,-0.3192796662,-4.9490599678,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,0.9479344887,-0.261166056,-14.0150391867,-11.226391552,59.4799623986,0.3617729221,0.0497781797,-0.0171797688,0.0670812859,0.0002005265,0.0003534377,-0.0034905037,-0.0015093797,-0.1083066092,-0.5437571143,-5.0035455338,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,0.9805250323,-0.2629901362,-14.1258163093,-11.6254667224,59.9893842956,-0.0092916877,0.0570406022,-0.0399831505,0.0470326791,0.0003004951,0.0004705316,-0.0016834536,-0.001471877,-0.0986293322,-0.4540922385,-4.9237496799,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,0.981361949,-0.271146439,-14.042188388,-11.3250944097,59.9473160233,0.2407639384,0.0527071796,0.0332905818,0.0538714338,0.0002476812,0.0003902065,-0.00160402,-0.0014052127,-0.0929810594,-0.3884367913,-8.3477183298,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,1.0631836661,-0.1794852724,-14.5909882624,-13.3092404119,65.0385280946,0.2496379577,0.0448198086,0.0083999581,0.0717321014,0.0001840519,0.000293035,-0.0020045676,-0.0012817383,-0.067779143,-0.4246264732,-6.2039777246,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,1.1454591036,-0.2222458676,-14.0416495981,-14.2286213481,64.3743073179,0.1744002164,0.0509375819,0.0084166814,0.0827378588,0.0002443881,0.0004403217,-0.0040479947,-0.001579676,-0.1197547481,-0.8957048472,-9.7576064244,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,0.9784868793,-0.2677217357,-13.9318829523,-11.6886074826,58.9061185982,0.6446198561,0.0789411935,-0.0263665406,0.0265437096,0.0003934453,0.0006601062,-0.0023585978,-0.0020767686,-0.159477293,-0.4464522338,-8.3768366989,40,40
1,-0.25,-14,-12,60,0.4,0.05,0,1.044281295,-0.3098050105,-13.5469425717,-12.0491544977,56.492884683,0.4885975839,0.0411587398,-0.0008572696,0.0378289878,9.92866e-05,0.0001328336,-0.001633412,-0.000816346,-0.049610578,-0.3307353095,-3.2314943261,40,40
1,-0.25,-14,-12,60,0.4,0.05,0,1.0742023746,-0.2548405342,-13.9629796413,-13.2053273757,63.5863310323,0.4136050375,0.0495555127,-0.0069428921,0.043413593,0.0001481062,0.0002498443,-0.0018012018,-0.001094904,-0.0667856497,-0.3523288437,-4.3134735365,40,40
1,-0.25,-14,-12,60,0.4,0.05,0,0.9577829458,-0.2619869599,-14.0238164225,-11.3917553028,59.4736407975,0.1865470725,0.0836032465,0.069592285,0.0035765986,0.0004203035,0.0003372509,-0.0012684885,-0.0014706213,-0.0805615415,-0.2386084534,-6.6662979985,40,40
