"","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","odhad"
"382",3.10381403087169,-2.03516995011615,-4.96467154577563,-4.13008393048124,9.70959867954942,0.699124799111688,0.00615943256124847,0.00173408886653032,13
"383",3.10381207954987,-2.03516796756891,-4.9646768223668,-4.13008603288082,9.70961836442385,0.699130104469179,0.00615930144896605,0.00173394637250069,13
"384",3.10381332793074,-2.03516923590199,-4.96467344666113,-4.13008468797207,9.70960577104076,0.699126710346714,0.00615938532925324,0.00173403753432153,13
"385",3.10381252928405,-2.03516842448088,-4.9646756062779,-4.1300855484236,9.70961382770758,0.699128881740148,0.00615933166704144,0.00173397921374822,13
"386",3.10381304022307,-2.0351689435883,-4.96467422465929,-4.13008499796564,9.70960867344749,0.699127492585132,0.00615936599771028,0.00173401652461981,13
"387",3.10381271335003,-2.03516861148784,-4.96467510855305,-4.13008535012954,9.70961197090019,0.69912838129939,0.00615934403465581,0.00173399265497682,13
"388",3.10381292246827,-2.03516882394965,-4.96467454308028,-4.13008512483491,9.70960986134945,0.699127812742318,0.00615935808559238,0.0017340079256585,13
"389",3.10381278868464,-2.03516868802669,-4.96467490484273,-4.13008526896884,9.70961121093965,0.699128176477806,0.00615934909648663,0.00173399815621866,13
"390",3.10381287427309,-2.03516877498367,-4.96467467340446,-4.13008517675935,9.70961034753674,0.699127943777218,0.00615935484729038,0.00173400440624295,13
"391",2.99198310306085,-1.8958982595963,-5.44522421534543,-4.25037059565172,11.3120979547518,0.0048887823681829,0.00941881298088182,0.00512313386327067,14
"392",3.01948713556784,-1.92989571894544,-5.39153659053159,-4.20525058184297,11.18434764568,0.354612269877496,0.00858048771765783,0.00492418565032328,14
"393",3.04965347903922,-1.91393586883103,-5.41929930663848,-4.43251375968406,11.4026312332912,0.486378426426118,0.00433474701730364,0.000729136764686115,14
"394",3.04786265369647,-1.92122549023462,-5.40321714951924,-4.38741076464432,11.318540626127,0.628352528676807,0.00434648781124513,0.00110278089074029,14
"395",3.07204957839174,-1.92414949676872,-5.38999869813225,-4.4818997691637,11.337351719602,0.627852655522902,0.00399908178384669,0.000762567869911872,14
"396",3.07299294717661,-1.92442511058039,-5.38810679059357,-4.48467633602636,11.3310010466342,0.619183413666095,0.00411424509877876,0.000908600618370227,14
"397",3.07082912777144,-1.92313559488073,-5.39174947060885,-4.48153635953917,11.3411337375579,0.621983933412552,0.00406889879120109,0.000850559250614804,14
"398",3.07167882061813,-1.92374578973833,-5.39012008808411,-4.4822431040265,11.3362250437895,0.620825468583857,0.0040870048149206,0.000873783132683805,14
"399",3.07132562055508,-1.92349852204469,-5.39078292383812,-4.48191628175173,11.3381951610644,0.621300075374511,0.00407965877173077,0.000864332464734125,14
"400",3.07147057494068,-1.92360066737286,-5.39051015982793,-4.48204725165603,11.3373837549722,0.621108738560713,0.00408263775481524,0.000868164132717978,14
"401",3.07141187281901,-1.92355923958942,-5.39062077416428,-4.48199454553813,11.3377130987836,0.621186786720826,0.0040814268442171,0.000866606191988585,14
"402",3.07143577879651,-1.92357609306713,-5.39057577377992,-4.48201610431787,11.3375792049678,0.621155125309461,0.00408191878536385,0.000867239096392858,14
